classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
IMMUNE SYSTEM,"VAPOR DIFFUSION, HANGING DROP",,3.2,61.15,X-RAY DIFFRACTION,Protein,"CRYSTALS OF BRE (20MG/ML IN 0.1M TRIS BUFFER, PH 7) WERE GROWN AT RT IN  HANGING-DROPS USING 2.5M AMMONIUM SULFATE IN 0.1M CITRATE BUFFER (PH 5.5)., pH 6.5, VAPOR DIFFUSION, HANGING DROP",6.5,1998,324,1.8,1B0W,35835.37
TRANSFERASE,,,2.04,39.66,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,94,2,1B0X,10265.49
ELECTRON TRANSPORT,,,1.78,30,X-RAY DIFFRACTION,Protein,"2M AMMONIUM SULPHATE, 40 MM TRI 180 MM KCL, pH 5.3",5.3,1999,85,0.93,1B0Y,9253.56
ISOMERASE,"VAPOR DIFFUSION, HANGING DROP",,3.08,60,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE GROWN BY HANGING DROP VAPOR DIFFUSION FROM 4-UL DROPLETS OF  PROTEIN SOLUTION (15 MG/ML) IN 50 MM PHOSPHATE BUFFER (PH7.0) AND 0.2 M  AMMONIUM PHOSPHATE AGAINST A RESERVOIR OF THE ABOVE BUFFER CONTAINING 0.4M  AMMONIUM PHOSPHATE., VAPOR DIFFUSION, HANGING DROP",7,2000,445,2.3,1B0Z,50202.76
PRION PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,142,,1B10,16264.1
HYDROLASE/HYDROLASE INHIBITOR,,,2.2,44.4,X-RAY DIFFRACTION,Protein,"SAMPLE: 3.4MG/ML FIVPR IN 25MM IMIDAZOL BUFFER AT PH 7.0 WITH 1MM EDTA AND 10MM DTT. WELL SOLUTION: 1.6M AMMONIUM SULFATE IN SODIUM ACETATE BUFFER AT PH 4.5 MIXING SAMPLE AND WELL SOLLUTION 1:1, pH 5.0",5,2000,113,1.9,1B11,13944.03
HYDROLASE,,,2.8,56,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1998,992,1.95,1B12,112634.2
ELECTRON TRANSPORT,,,2.44,49.1,X-RAY DIFFRACTION,Protein,PROTEIN WAS CRYSTALLISED FROM 50-60% SATURATED AMMONIUM SULFATE IN SODIUM  ACETATE BUFFER (50 MM) AT PH 4.6.,4.6,1999,54,1.5,1B13,6121.48
OXIDOREDUCTASE,,277,2.15,45.5,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 28% PEG 2000,   0.2 M CACL2, 0.1 M TRIS-HCL, PH=7.0, 277 K.",7,1999,508,2.4,1B14,56974.8
OXIDOREDUCTASE,,,2.15,45.5,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 28% PEG 2000,  0.2 M CACL2, 0.1 M TRIS-HCL, PH=7.5,  1MM NAD+, 1% ACETONE, 277 K.",7.5,1999,508,2.2,1B15,57086.92
OXIDOREDUCTASE,,,2.15,45.5,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 28% PEG 2000, 0.2 M CACL2, 0.1 M TRIS-HCL, PH=  7.5, 1MM NAD+, 1% 3-PENTANONE, 4 C.",7.5,1999,508,1.4,1B16,57143.03
HORMONE/GROWTH FACTOR,,,3.51,65,X-RAY DIFFRACTION,Protein,pH 5.00,5,2003,51,1.7,1B17,5883.69
HORMONE/GROWTH FACTOR,,,3.51,65,X-RAY DIFFRACTION,Protein,pH 5.53,5.53,2003,51,1.8,1B18,5883.69
HORMONE/GROWTH FACTOR,,,3.51,65,X-RAY DIFFRACTION,Protein,pH 5.80,5.8,2003,51,1.8,1B19,5883.69
ISOMERASE,,,,,SOLUTION NMR,Protein,,,1999,137,,1B1A,14830.05
METAL BINDING PROTEIN,,,4.92,74.98,X-RAY DIFFRACTION,Protein,pH 7.50,7.5,1999,140,2.6,1B1B,16129.1
OXIDOREDUCTASE,,,2.27,45.82,X-RAY DIFFRACTION,Protein,"18-20% (W/V) PEG400,   100 MM HEPES (PH6.8-7.2),   200 MM CACL2   4 DEGREES C, pH 7.0",7,1999,181,1.93,1B1C,20876.74
HYDROLASE,,289,3.3,63,X-RAY DIFFRACTION,Protein,"pH 5.2, temperature 289K",5.2,1999,123,2,1B1E,14360.11
METAL BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,75,,1B1G,8550.65
SIGNALING PROTEIN,,,2.47,50.25,X-RAY DIFFRACTION,Protein,pH 5.50,5.5,1999,520,1.8,1B1H,61476.79
HYDROLASE,,,2.4,48,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1999,123,1.8,1B1I,14344.13
HYDROLASE,,,2.4,49,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,123,2,1B1J,14101.97
HYDROLASE INHIBITOR,,,1.96,37.2,X-RAY DIFFRACTION,Protein,"1.15M AMMONIUM SULFATE, 0.2M AMMONIUM PHOSPHATE PH 8.0",8,2000,122,2.2,1B1U,13153.31
CYTOKINE,,,,,SOLUTION NMR,Protein,,,1999,23,,1B1V,2511.83
TRANSPORT PROTEIN,,,2.76,51,X-RAY DIFFRACTION,,,8.4,1999,190,2.5,1B1W,22223.35
METAL BINDING PROTEIN,,,2.72,54.8,X-RAY DIFFRACTION,Protein,"40MG/ML PROTEIN IN 10MM TRIS HCL, PH 8.5, MICRODIALYSED AGA   AT 6 DEGREES CELSIUS",8.5,1999,689,2.62,1B1X,75602.91
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",,2.8,57.43,X-RAY DIFFRACTION,Protein,"HUNGING DROP VAPOR DIFFUSION AGAINST 0.1 M PIPES PH 7.1, 0.1 M MGAC2 AND 14% PEG 6000 WITH A PROTEIN CONCENTRATION OF 3 MG/ML., vapor diffusion - hanging drop",7.1,1999,500,2.5,1B1Y,56857.8
TOXIN,,,2.57,52.19,X-RAY DIFFRACTION,Protein,"PEG 8K 17%, AMMONIUM SULPHATE 0.2 M, PH 6.5",6.5,1999,876,2.57,1B1Z,102254.95
HYDROLASE,,,2.11,41.4,X-RAY DIFFRACTION,Protein,"DROP: 8-12 MG/ML PROTEIN 6 MM ZNSO4 0.6 M (NH4)2SO4 WELL: 2.58-2.73 M AMMONIUM PHOSPHATE BUFFER, PH 7.5 1-2 MM ZNSO4 0.15-0.30 M (NH4)2SO4 5-10 MM NH4OH",7.5,2002,330,1.7,1B20,37182.04
HYDROLASE,,,2.11,42,X-RAY DIFFRACTION,Protein,"DROP: 8-12 MG/ML PROTEIN 6 MM ZNSO4 0.6 M (NH4)2SO4 WELL: 2.58-2.73 M AMMONIUM PHOSPHATE BUFFER, PH 7.5 1-2 MM ZNSO4 0.15-0.30 M (NH4)2SO4 5-10 MM NH4OH",7.5,2002,330,2,1B21,37048.27
DNA BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,114,,1B22,12547.28
GENE REGULATION/RNA,"VAPOR DIFFUSION, HANGING DROP",277,2.34,43,X-RAY DIFFRACTION,Protein#RNA,"2.1 M (NH4)2SO4, 30 MM TRIS, 5 MM MES, 10 MM MGCL2, 10 MM DTT, 1 MM GDPNP PH 6.7, 4 DEG. C, HANGING DROP, vapor diffusion - hanging drop, temperature 277K",6.7,1999,479,2.6,1B23,69580.85
INTRON-ENCODED,"VAPOR DIFFUSION, HANGING DROP",,2.01,33.3,X-RAY DIFFRACTION,Protein,"HANGING DROP VAPOR-DIFFUSION METHOD: 4UL I-DMOI PROTEIN 1UL 20MM N-OCTYL-B-  GLUCOPYRANOSIDE 4UL PRECIPITATING BUFFER: 30% PEG 3350 200MM SODIUM ACETATE  100MM TRIS-HCL PH 8.5, VAPOR DIFFUSION, HANGING DROP",8.5,1999,188,2.2,1B24,22181.47
OXIDOREDUCTASE,,,2.9,56.22,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1999,2476,1.85,1B25,280944.88
OXIDOREDUCTASE,,,3.1,60.4,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS:  3% POLYETHYLENE GLYCOLE, 120 MM AMMONIUM ACETATE  50 MM BIS-TRIS PROPANE PH 6.5",6.5,1997,2496,3,1B26,275156.84
HYDROLASE/HYDROLASE INHIBITOR,,,2.5,51,X-RAY DIFFRACTION,Protein,18-24% PEG-8K 0.2 M AMMONIUM SULPHATE 0.1 M TRIS PH8.0,8,1999,600,2.1,1B27,68061.98
TRANSLATION/REGULATION,,,,,SOLUTION NMR,Protein,,,1999,106,,1B28,12404.6
HORMONE/GROWTH FACTOR,,,3.52,65,X-RAY DIFFRACTION,Protein,pH 6.00,6,2003,51,1.7,1B2A,5883.69
HORMONE/GROWTH FACTOR,,,3.51,65,X-RAY DIFFRACTION,Protein,pH 6.16,6.16,2003,51,1.8,1B2B,5883.69
HORMONE/GROWTH FACTOR,,,3.52,65,X-RAY DIFFRACTION,Protein,pH 6.26,6.26,2003,51,1.8,1B2C,5883.69
HORMONE/GROWTH FACTOR,,,3.52,65,X-RAY DIFFRACTION,Protein,pH 6.35,6.35,2003,51,1.7,1B2D,5883.69
HORMONE/GROWTH FACTOR,,,3.51,65,X-RAY DIFFRACTION,Protein,pH 6.50,6.5,2003,51,1.9,1B2E,5883.69
HORMONE/GROWTH FACTOR,,,3.52,65,X-RAY DIFFRACTION,Protein,pH 6.98,6.98,2003,51,1.9,1B2F,5787.62
HORMONE/GROWTH FACTOR,,,3.53,65,X-RAY DIFFRACTION,Protein,pH 9.00,9,2003,51,1.8,1B2G,5787.62
PEPTIDE BINDING PROTEIN,,,2.47,50.24,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,1.9,1B2H,61232.78
HYDROLASE,,,,,SOLUTION NMR,Protein,,,1999,83,,1B2I,9809.02
ELECTRON TRANSPORT,,,2.44,49.2,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLISED FROM 50-60% SATURATED AMMONIUM SULFATE IN SODIUM  ACETATE BUFFER (50 MM) AT PH 4.5., pH 4.6",4.6,1999,54,1.6,1B2J,6121.48
HYDROLASE,,291,1.8,33,X-RAY DIFFRACTION,Protein,THE ISOIONIC PROTEIN HEWL WAS ACIDIFIED BY ADDING OF HI UNTIL THE PH 4.5 WAS REACHED AT 291K WERE 25 MG/ML OF PROTEIN AND 0.07 M OF NAI VERSUS A WELL CONTAINING 0.14 M OF NAI AT PH4.5,4.5,2001,258,1.6,1B2K,30819.69
OXIDOREDUCTASE,,277,2.56,51.99,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 20% PEG 2000, 0.2 M CACL2, 0.1 M TRIS-HCL, PH=  8.0, 1MM NAD+, 1% CYCLOHEXANONE, 277 K.",8,1999,254,1.6,1B2L,28876
HYDROLASE/RNA,,,2.23,44.82,X-RAY DIFFRACTION,Protein#RNA,pH 4.10,4.1,1999,214,2,1B2M,24048.61
OXIDOREDUCTASE,,,2.5,51.85,X-RAY DIFFRACTION,,,6.75,1999,0,1.9,1B2N,138782.16
ELECTRON TRANSPORT,,,3.1,60.04,X-RAY DIFFRACTION,Protein,PROTEIN WAS CRYSTALLISED FROM 70% SATURATED AMMONIUM SULFATE IN SODIUM ACETATE  BUFFER (50 MM) AT PH 5.0.,5,1999,108,1.9,1B2O,12327.12
SUGAR BINDING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",,2.78,56,X-RAY DIFFRACTION,Protein,"HANGING-DROP VAPOUR-DIFFUSION METHOD WELL: 70% SATURATED AMMONIUM SULPHATE, PH  4.7 DROP: 5.5 MG/ML PROTEIN, 10MM DAP, 600MM PHOSPHATE BUFFERED SALINE, VAPOR DIFFUSION, HANGING DROP",4.7,1999,238,1.7,1B2P,26419.71
OXIDOREDUCTASE,,,3,60,X-RAY DIFFRACTION,Protein,pH 5.0,5,2000,304,1.8,1B2R,34996.45
HYDROLASE/HYDROLASE INHIBITOR,,,2.6,52,X-RAY DIFFRACTION,Protein,18% PEG-4K 0.1M TRIS PH8.0 0.2M LI2SO4,8,1999,600,1.82,1B2S,68182.12
CHEMOKINE,,,,,SOLUTION NMR,Protein,,,1999,77,,1B2T,8786.23
HYDROLASE/HYDROLASE INHIBITOR,,,2.49,51,X-RAY DIFFRACTION,Protein,21% PEG-8K 0.2 M AMMONIUM SULPHATE 0.1 M NA CACODYLATE PH6.5,6.5,1999,600,2.1,1B2U,67948.04
TRANSPORT PROTEIN,,,2.75,55.23,X-RAY DIFFRACTION,Protein,"0.2M CACL, 0.1M NA ACETATE PH 4.6, 20% ISOPRPANOL",4.6,1999,188,1.9,1B2V,19945.2
IMMUNE SYSTEM,,,2.85,57,X-RAY DIFFRACTION,Protein,"6.6% PEG 8000(W/V), IN 0.05 M NACL AND  0.05% SODIUM AZIDE., pH 6.2",6.2,1999,434,2.9,1B2W,47231.68
HYDROLASE,,,2.09,41,X-RAY DIFFRACTION,Protein,"DROP: 8-12 MG/ML PROTEIN 6 MM ZNSO4 0.6 M (NH4)2SO4 WELL: 2.58-2.73 M AMMONIUM PHOSPHATE BUFFER, PH 7.5 1-2 MM ZNSO4 0.15-0.30 M (NH4)2SO4 5-10 MM NH4OH",7.5,2002,330,1.8,1B2X,37261.57
HYDROLASE,,,2.5,60,X-RAY DIFFRACTION,Protein,"60% 2-METHYLPENTAN-2,4 DIOL, pH 8.0",8,2000,496,3.2,1B2Y,56998.77
HYDROLASE,,,2.11,42,X-RAY DIFFRACTION,Protein,"DROP: 8-12 MG/ML PROTEIN 6 MM ZNSO4 0.6 M (NH4)2SO4 WELL: 2.58-2.73 M AMMONIUM PHOSPHATE BUFFER, PH 7.5 1-2 MM ZNSO4 0.15-0.30 M (NH4)2SO4 5-10 MM NH4OH",7.5,2002,330,2.03,1B2Z,37258.62
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M  TRISHCL PH 8.4 AT 4 C",8.4,1999,302,2.25,1B30,33016.86
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M  TRISHCL PH 8.4 AT 4 C",8.4,1999,302,1.75,1B31,32566.47
PEPTIDE BINDING PROTEIN,,,2.46,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.75,1B32,61860.09
PHOTOSYNTHESIS,,,4.07,70,X-RAY DIFFRACTION,Protein,pH 7.9,7.9,1999,2060,2.3,1B33,230126.95
RNA BINDING PROTEIN,,,2.8,56.09,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1999,237,2.5,1B34,26862.58
VIRUS,,,,,X-RAY DIFFRACTION,Protein,"VIRUS STORED AT 10MG/ML IN 200MM NAH2PO4, PH7.2. WELL SOLUTION CONSISTED OF 8%   (W/V) MPEG 5K, 50MM LI2SO4, 50MM MES, PH6.0.",6,1999,854,2.4,1B35,1431187.5
RNA,,,,,SOLUTION NMR,RNA,,,1999,38,,1B36,12215.32
OXIDOREDUCTASE,,,4.32,71.5,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1999,1416,1.9,1B37,165303.73
TRANSFERASE,,,2.01,45,X-RAY DIFFRACTION,Protein,"PROTEIN AT 10 MG/ML IN 10MM HEPES/HCL PH7.4, 15MM NACL WELL BUFFER CONTAINING 50MM AMMONIUM ACETATE, 12% PEG 3350, 100MM HEPES/HCL PH 7.4",7.4,1999,299,2,1B38,34534.01
TRANSFERASE,streak seeding,,2.04,45,X-RAY DIFFRACTION,Protein,"STREAK SEEDING FROM UNPHOSPHORYLATED CDK2 CRYSTALS, USING PHOSPHORYLATED CDK2 PROTEIN PREEQUILIBRATED AGAINST WELL SOLUTION. PROTEIN AT 10 MG/ML IN 50MM TRIS/HCL PH7.5, 50MM NACL. WELL SOLUTION OF 12-16% PEG 3350, 0.1M TRIS/HCL PH 7.5, 50MM AMMONIUM ACETATE., streak seeding",7.5,1999,299,2.1,1B39,34534.01
ANTI-HIV PROTEIN,,,1.98,32.7,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1999,134,1.6,1B3A,16224.52
OXIDOREDUCTASE,,,3.1,59.16,X-RAY DIFFRACTION,Protein,"6% POLYETHYLENE GLYCOLE, 120 MM AMMONIUM ACETATE, 50 MM BIS-TRIS PROPANE PH 6.5",6.5,1998,2490,3.1,1B3B,274808.38
TOXIN,,,,,SOLUTION NMR,Protein,,,1999,64,,1B3C,7299.31
HYDROLASE/HYDROLASE INHIBITOR,,,2.02,39.26,X-RAY DIFFRACTION,Protein,"20-24% PEG 8000, 2.5% 2-PROPANOL,  10 MM CACL2 0.1 M TRIS-HCL BUFFER,  PH 7.5-8.5, pH 7.4",7.4,1999,346,2.3,1B3D,39709.57
IRON TRANSPORT,"VAPOR DIFFUSION, SITTING DROP",277,2.85,57,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 40% (V/V) ETHANOL WITH 50MM SODIUM CACODYLATE,  PH 6.25. GROWN IN SITTING DROPS AT 277 K. RESERVOIRS CONTAINED 40% (V/V)  ETHANOL, 50MM SODIUM CACODYLATE, PH 5.8 - 6.3. PRIOR TO CRYSTALLIZATION, THE  PROTEIN WAS DIALYSED AGAINST SODIUM BICARBONATE, PH 8.1, VAPOR DIFFUSION, SITTING DROP, temperature 277.0K",6.25,1999,330,2.5,1B3E,36621.38
PEPTIDE BINDING PROTEIN,,,2.48,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.8,1B3F,61453.73
PEPTIDE BINDING PROTEIN,,,2.47,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,2,1B3G,61428.74
PEPTIDE BINDING PROTEIN,,,2.45,49.81,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,2,1B3H,61212.81
ELECTRON TRANSPORT,,,,,SOLUTION NMR,Protein,,,1999,97,,1B3I,10212.11
IMMUNE SYSTEM,,,5.3,80,X-RAY DIFFRACTION,Protein,pH 5.50,5.5,1999,274,3,1B3J,32042.65
BLOOD CLOTTING,"VAPOR DIFFUSION, HANGING DROP",293,2.7,53.83,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE PRODUCED BY THE HANGING DROP METHOD EQUILIBRATING PURIFIED PROTEIN AT 5MG/ML IN 10 MM NA CACODYLATE, PH 6.8, O.25 M NACL, 1 MM EDTA AGAINST 27-32% SATURATED AMMONIUM SULPHATE, 0.25 M  NA CL AND 10 MM  CACODYLATE PH 6.8 AT ROOM TEMPERATURE, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6.8,1999,1516,2.99,1B3K,171128.09
PEPTIDE BINDING PROTEIN,,,2.29,40,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,1040,2,1B3L,118694.85
OXIDOREDUCTASE,,,2.19,42,X-RAY DIFFRACTION,,2.0 M SODIUM PHOSPHATE BUFFER PH 6.5,6.5,1999,0,2,1B3M,86884.73
CONDENSING ENZYMES,,,2.89,57.51,X-RAY DIFFRACTION,Protein,"5.6 MG/ML KAS-CERULENIN COMPLEX IN 0.3M  NACL, 25MM TRIS PH8.0, 5MM IMIDAZOLE AND   10% (V/V) GLYCEROL WERE MIXED (2+2UL) WITH  A 1000 UL RESERVOIR  SOLUTION CONSISTING OF  26% W/V PEG8000  0.1% V/V 2-MERCAPTOETHANOL AND WATER. CRYSTALS  APPEARED IN A FEW DAYS",8,1999,412,2.65,1B3N,43183.72
DEHYDROGENASE,,,3.9,68.93,X-RAY DIFFRACTION,Protein,"SEE PRIMARY REFERENCE , pH 8.0",8,1999,1028,2.9,1B3O,113917.74
DNA,,,,,SOLUTION NMR,DNA,,,1999,14,,1B3P,4404.94
TRANSFERASE,,,3.5,65,X-RAY DIFFRACTION,Protein,"80MM SUCCINATE, PH 5.5, 20% MPD, 5% ISOPROPANOL, 4% PEG 8000",5.5,1999,758,2.6,1B3Q,85329.86
HYDROLASE,,,3.1,60,X-RAY DIFFRACTION,Protein,"50 MM TRIS/HCL (PH 6.8), 6 MM MGCL2, 5% MPD, 15% PEG-6K",6.8,1999,1724,2.8,1B3R,192516.55
HYDROLASE/HYDROLASE INHIBITOR,,,2.55,53,X-RAY DIFFRACTION,Protein,0.2M (NH4)2SO4; 0.1M TRIS/HCL PH 8.0: 22% PEG-8000,8,1999,600,2.39,1B3S,68005.17
PROTEIN/DNA,"VAPOR DIFFUSION, HANGING DROP",277,2.52,51.17,X-RAY DIFFRACTION,Protein#DNA,"METHOD - HANGING DROP VAPOR DIFFUSION. RESERVOIR: 100 MM MES (PH 5.6) 20% PEG 4000, 500 MM NACL, 10 MM MGCL2, 10 MM DTT PROTEIN: 10MG/ML 1MM HEPES PH 7.2 1M NACL, 10 MM DTT DRY DNA RESUSPENDED IN THE PROTEIN CONTAINING SOLUTION IN MOLAR RATIO 1.5 (DSDNA) / 1.0 (EBNA1 DIMER) DROP: 50% PROTEIN/DNA SOLUTION 50% RESERVOIR SOLUTION CRYSTALLIZATION TEMPERATURE: 4 GEDREES C, vapor diffusion - hanging drop, temperature 277K",5.6,1998,330,2.2,1B3T,43050.15
SCAFFOLD PROTEIN,,,2.5,64,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,1176,2.3,1B3U,130494.3
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M  TRISHCL PH 8.4 AT 4 C",8.4,1999,302,2.4,1B3V,33166.99
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"CRYSTALLIZATION CONDITIONS: PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M  TRISHCL PH 8.4 AT 4 C",8.4,1999,302,2.6,1B3W,33016.86
FAMILY 10 XYLANASE,,277,3.25,62,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M TRISHCL PH 8.4 AT 4 C, temperature 277.0K",8.4,1999,302,2.2,1B3X,33166.99
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 1.9M (NH4)2SO4, 0.1M   TRISHCL PH 8.4 AT 4 C",8.4,1999,302,2.45,1B3Y,33166.99
FAMILY 10 XYLANASE,,,3.25,62,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM  1.9M (NH4)2SO4, 0.1M TRISHCL PH 8.4 AT 4 C",8.4,1999,302,2.3,1B3Z,33467.25
PEPTIDE BINDING PROTEIN,,,2.42,45,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,2.2,1B40,61462.76
HYDROLASE/TOXIN,,,4,69.26,X-RAY DIFFRACTION,Protein,pH 7.20,7.2,2000,600,2.76,1B41,66700.29
METHYLTRANSFERASE,,,2.77,56,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,297,2.2,1B42,35353.86
TRANSFERASE,,,3.1,60,X-RAY DIFFRACTION,Protein,"60 % AMMONIUM SULFATE 100 MM IMIDAZOLE MALATE 50 MM MGCL2, pH 6.5",6.5,1998,680,2,1B43,77597.63
TOXIN,,,5.54,78,X-RAY DIFFRACTION,Protein,pH 6,6,1999,645,3.3,1B44,71466.55
TOXIN,,,,,SOLUTION NMR,Protein,,,1999,15,,1B45,1548.84
PEPTIDE BINDING PROTEIN,,,2.46,50,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED WITH URANIUM ACETATE, PH 5.5",5.5,1999,520,1.8,1B46,61707.92
SIGNAL TRANSDUCTION,,,3.15,60,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1999,912,2.2,1B47,106238.96
TRANSFERASE,,,2.35,47.6,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE GROWN IN HANGING DROPS WHICH INITIALLY CONSISTED OF 0.11 MM  PROTEIN IN 0.047 M HEPES BUFFER (PH 7.5) CONTAINING 1.82 MM GLUTATHIONE, 10.91   MM HNA-SG (GSH CONJUGATE OF 4-HYDROXYNONENAL), 9.1% ETHANOL, 4.5% ISOPROPANOL,   AND 6.5% PEG MONOMETHYL ETHER 5K (PH 7.5). THE DROPS WERE EQUILIBRATED AT 293  K AGAINST WELL SOLUTION CONTAINING 10% ISOPROPANOL AND 12% PEG MONOMETHYL  ETHER 5K IN 80 MM HEPES BUFFER (PH 7.5).",7.5,1999,442,2.6,1B48,51724.32
TRANSFERASE,,,2.65,54,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,492,2.3,1B49,57236.4
REPRESSOR,,,2.5,50,X-RAY DIFFRACTION,Protein,pH 5,5,1999,894,2.5,1B4A,100857.27
REPRESSOR,,,2.3,50,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1999,213,2.2,1B4B,23448.45
METAL BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,184,,1B4C,21516.1
TRANSFERASE,,289,2.38,48.26,X-RAY DIFFRACTION,Protein,"CO-CRYSTALLIZED COMPLEX WAS OBTAINED FROM 0.01 M BES, PH 6.7, 0.003 M DTT, 0.001 M SPERMINE, 0.0001 M SODIUM EDTA, 0.02 % SODIUM AZIDE AND 0.01 M AMIDOCARBAMATE AT 16 DEGREES C. JUST BEFORE DATA COLLECTION, THE CRYSTALS WERE TRANSFERRED TO A FRESH SOLUTION OF THE ABOVE BUFFER CONTAINING 30% GLYCEROL FOR 30-60 SEC., temperature 289K",6.7,1999,842,2,1B4D,98166.78
LYASE,"VAPOR DIFFUSION, HANGING DROP",,4,71,X-RAY DIFFRACTION,Protein,"7MG/ML ENZYME AND 2 - 5 % SATURATED AMMONIUM SULPHATE AS PRECIPITANT. 0.2 M  TRIS-HCL USED TO BUFFER THE PH BETWEEN 8.1 AND 8.4. 15MM LEVULINIC ACID, 40UM  ZINC SULPHATE AND 4MM BETA- MERCAPTOETHANOL WERE PRESENT., pH 8.2, VAPOR DIFFUSION, HANGING DROP",8.2,1999,323,2,1B4E,36414.38
SIGNAL TRANSDUCTION,,,1.96,37.2,X-RAY DIFFRACTION,Protein,pH 7.0,7,1999,656,1.95,1B4F,75214.18
POTASSIUM CHANNEL,,,,,SOLUTION NMR,Protein,,,1999,30,,1B4G,3360.84
PEPTIDE BINDING PROTEIN,,,2.47,50.3,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,1999,520,1.9,1B4H,61159.71
PROTON TRANSPORT,,,,,SOLUTION NMR,Protein,,,1999,30,,1B4I,3440.82
ANTIBODY ENGINEERING,,,3,59,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1999,434,2.9,1B4J,47089.5
LYASE,,,2.46,50,X-RAY DIFFRACTION,Protein,pH 8.0,8,1999,674,1.67,1B4K,74604.52
OXIDOREDUCTASE,,,3.25,61.7,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1999,153,1.8,1B4L,15872.34
RETINOL TRANSPORT,,,,,SOLUTION NMR,Protein,,,1999,134,,1B4M,15606.57
OXIDOREDUCTASE,,,2.9,56.17,X-RAY DIFFRACTION,Protein,pH 5.6,5.6,1999,2476,2.4,1B4N,281665.72
